folioviv,foliohog,numren,id_trabajo,trapais,subor,indep,personal,pago,contrato,tipocontr,pres_1,pres_2,pres_3,pres_4,pres_5,pres_6,pres_7,pres_8,pres_9,pres_10,pres_11,pres_12,pres_13,pres_14,pres_15,pres_16,pres_17,pres_18,pres_19,pres_20,pres_21,pres_22,pres_23,pres_24,pres_25,pres_26,htrab,sinco,scian,clas_emp,tam_emp,no_ing,tiene_suel,tipoact,socios,soc_nr1,soc_nr2,soc_resp,otra_act,tipoact2,tipoact3,tipoact4,lugar,conf_pers
100840203,1,3,1,1,1,,,1,1,2,1,,,,,,,8,9,,11,12,13,14,15,16,17,,,20,,,23,,,,70,5312,9314,3,11,,,,,,,,,,,,,
100840203,1,5,1,1,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,26,2,2321,6131,2,4,,,,,,,,,,,,,
100840203,1,5,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,2427,6211,,1,,2,3,,,,,,,,,,
100840204,1,1,1,1,1,,,1,1,2,1,,,,,,7,8,9,,,12,13,14,15,16,17,18,,20,,,23,24,,,40,8341,9314,3,6,,,,,,,,,,,,,
100840204,1,2,1,1,1,,,1,2,,,,,,,,,8,9,,,,,,,,17,,,,,,,,,,45,8153,3150,2,6,,,,,,,,,,,,,
100840204,1,3,1,1,1,,,1,2,,,,,,,,,8,9,,,,,,,,17,,,,,,,,,,40,4211,4651,1,2,,,,,,,,,,,,,
100840204,2,1,1,1,1,,,1,1,1,1,,,,,,7,8,9,10,11,12,13,14,,,17,,,,,,23,,,,49,8344,7221,2,4,,,,,,,,,,,,,
100840204,3,1,1,1,1,,,1,1,2,1,,,,,,7,8,9,10,,,,14,15,,17,,,20,21,,23,24,,,56,8342,4850,2,9,,,,,,,,,,,,,
100840204,4,1,1,1,1,,,1,1,2,1,,,,,,7,8,9,10,11,,,14,15,,17,,,,,,23,24,,,45,9231,3320,2,7,,,,,,,,,,,,,
100840205,1,1,1,1,1,,,1,1,2,1,,,,,,7,8,9,,,12,13,14,15,16,17,18,,20,21,,23,24,,,38,2531,6231,4,4,,,,,,,,,,,,,
100840206,1,1,1,1,1,,,1,1,2,,2,,,,,7,8,9,,11,12,,14,15,,,,,,,,23,24,,,43,1521,9312,4,11,,,,,,,,,,,,,
100840206,1,2,1,1,1,,,1,1,2,,2,,,,,7,8,9,,11,12,13,14,15,16,17,18,,20,21,,23,24,,,40,3115,9312,4,11,,,,,,,,,,,,,
100842301,1,3,1,1,1,,,1,1,1,,2,,,,,7,8,9,,11,12,13,14,15,16,17,,,,21,,,24,,,40,2271,9312,1,11,,,,,,,,,,,,,
